arstists_with_nations
artist; nation
Central Cee;EN
ThxSoMch;EN
SadSvit, СТРУКТУРА ЩАСТЯ;UA
Lady Gaga;EN
Freddie Dredd;EN
TWISTED, Oliver Tree;EN
SOSKA 69;RU
Килджо, shadowraze;RU
Kxllswxtch;EN
Aerosmith;EN
Metro Boomin, The Weeknd, 21 Savage;EN
Kalush Orchestra, KALUSH, KOZAK SIROMAHA;UA
I Monster;EN
Metro Boomin, Future, Chris Brown;EN
PHARAOH, Ilya Konoplev;RU
Nikitata, FindMyName;EN
Golubenko, Clonnex;RU
MoonDeity, EL$E;EN
Xolidayboy;RU
ONIMXRU, STRAWANGLE;EN
Drake, 21 Savage;EN
Øneheart, reidenshi;EN
Lil Uzi Vert;EN
Metro Boomin, Future, Don Toliver;EN
Jah Khalib;RU
RM;EN
Artem Pivovarov, NK;UA
DVRST, Scarlxrd;EN
Emma Louise;EN
ЛЯЛЬКА;RU
Rogue Dave;EN
Öwnboss, Sevek;EN
PHARAOH, Mnogoznaal;RU
Kush Lovers;RU
Lesha Svik;RU
LAUD, Boulevard Depo, I61;UA
Badcurt;RU
YARMAK, Tof;UA
Parnishka, ELLA;RU
Buerak;RU
BADTRIP MUSIC, GREEN ORXNGE, Send 1;EN
Ishowsped;EN
rizza;RU
CMH, Lida;RU
stweamer;EN
Pharmacist;EN
Джизус;RU
Daft Punk, Pharrell Williams, Nile Rodgers;EN
Scally Milano, 163ONMYNECK, FEARMUCH;RU
plenka;EN
Midix, Chuyko, Lirin;RU
ЯМАУГЛИ;RU
Adecvat_production;RU
Nekoglai;RU
Jakone, A.V.G;RU
Dean Martin;EN
Verka Serduchka;UA
Arthur Pirozhkov, Klava Koka;RU
FrozenGangBeatz, SODA LUV, RVMZES;RU
Andy Williams;EN
Michael Bublé;EN
Diskoteka Avaraya;RU
Fujii Kaze;EN
KALUSH, Kalush Orchestra, Szpaku;UA
MiyaGi & Endspiel;RU
The Hardkiss;UA
Grohotsky;UA
Кореш, PINQ;RU
Isabel LaRosa;EN
BARABANDA;UA
Scally Milano, 163ONMYNECK;RU
MAYOT;RU
AnnenMayKantereit, Giant Rooks;EN
BTS;EN
Tartak, Катя Chilly;UA
Lost Frequencies, Calum Scott;EN
Aarne, MAYOT, Markul;RU
Clonnex, AQUAKILLA;UA
Aarne, Big Baby Tape;RU
Clonnex, йо;UA
Aarne, Eldzhey, LIL KRYSTALLL;RU
Aarne, OBLADAET;RU
Aarne, FEDUK;RU
Aarne, Платина;RU
Markul, Тося Чайкина;RU
LOVV66, Платина;RU
ARBUZOVA;RU
Второй Ка;RU
Айки;RU
The Limba;RU
Subwoolfer;EN
Kanye West, XXXTENTACION;EN
Kolaba;UA
Serhii Babkin;UA
Pakkitka;UA
ANNA ASTI;RU
Artik & Asti;RU
Lana Del Rey;EN
17 SEVENTEEN, Sqwore;RU
Rodionis;EN
Basic Boy, Boulevard Depo, TVETH;RU
Oisho btz;UA
Pink Floyd, Andriy Khlyvnyuk;UA
lil Shordie Scott;EN
Zlyj Reper Zenyk;UA
BUSHIDO ZHO, 163ONMYNECK;RU
Руся;UA
BUSHIDO ZHO, MAYOT;RU
Medovyi Polyn;UA
Demi Lovato;EN
benny blanco, BTS, Snoop Dogg;EN
MORGENSHTERN, kizary;RU
Jung Kook, BTS, FIFA Sound;EN
Big Baby Tape, Young Moscow;RU
S10;EN
Nurik Smit;RU
Panic! At The Disco;EN
jon;EN
Egor Kreed, Mikhail Shufutinsky;RU
Eldzhey, Poshlaya Molly;RU
BUSHIDO ZHO, treepside;RU
Ariana Grande;EN
Frank Sinatra, B. Swanson Quartet;EN
Ed Sheeran, FEDUK, SLAVA MARLOW;RU
Nekoglai, ivanzolo2004;RU
MAYBE BABY;RU
LSP;RU
SEEMEE, BUSHIDO ZHO;RU
SCIRENA;RU
Gunna, Future, Young Thug;EN
kizaru, Milian Beatz, Lil Gotit;RU
Kinneret;EN
SODA LUV, Rakhim, SLAVA MARLOW;RU
Esteman;EN
Coolio, L.V.;EN
Juice WRLD;EN
Zdob si Zdub, Fratii Advahov;EN
PHARAOH, Dima Roux;RU
Lida, MORGENSHTERN;RU
Parfeniuk;UA
The Cramps;EN
Kendrick Lamar;EN
Monika LIU;EN
Vendetta;EN
Konstrakta;EN
KALUSH, alyona alyona;UA
Sam Ryder;EN
MARO;EN
Chanel;EN
SHTERN, MORGENSHTERN;RU
Ochman;EN
$NOT, A$AP Rocky;EN
Red Hot Chili Peppers;EN
BUSHIDO ZHO, SODA LUV;RU
